Endogenous mRNA from N2 var. Bristol (wildtype) GSM879792   GSM879794   GSM879796
Endogenous mRNA from daf-2(e1370) mutant    GSM879793   GSM879795   GSM879797
Endogenous mRNA from MEF wildtype cells GSM879798   GSM879800
Endogenous mRNA from MEF irs1-/- knockout cells GSM879799   GSM879801
Endogenous mRNA from MEF insr+/- -lox cells GSM879802   GSM879804
Endogenous mRNA from MEF insr+/- knockout cells GSM879803   GSM879805
